id,lex,ph,vow,cons,context,syl,class,asp,pos,eng
1,kokk,kʰoʰk,o,ʰk,c#,cvcc,stop,yes,n,cook
2,gogg,kokk,o,kk,c#,cvcc,stop,no,n,beak
3,dökk,tœʰk,œ,ʰk,c#,cvcc,stop,yes,agg,dark
4,dögg,tœkk,œ,kk,c#,cvcc,stop,no,n,dew
5,kopp,kʰoʰp,o,ʰp,c#,cvcc,stop,yes,n,chamber pot
6,kubb,kʰʏpp,ʏ,pp,c#,cvcc,stop,no,n,block of wood
7,vítt,viʰt,i,ʰt,c#,cvcc,stop,yes,adv,far and wide
8,vídd,vitt,i,tt,c#,cvcc,stop,no,n,width
9,þítt,θiʰt,i,ʰt,c#,cvcc,stop,yes,v,thaw
10,þíddi,θitt,i,tt,cv,cvccv,stop,no,v,thaw
11,fætt,faiʰt,ai,ʰt,c#,cvcc,stop,yes,v,feed
12,fæddi,faitt,ai,tt,cv,cvccv,stop,no,v,feed
13,ýtt,iʰt,i,ʰt,c#,vcc,stop,yes,v,push
14,ydd,ɪtt,ɪ,tt,c#,vcc,stop,no,v,sharpen
15,ótt,ouʰt,ou,ʰt,c#,vvcc,stop,yes,n,point
16,odd,ott,o,tt,c#,vcc,stop,no,adv,fast
17,sæts,saiss,ai,s,c#,cvvcc,stop,no,adj,sweet
18,sætt,saiʰt,ai,ʰt,c#,cvvcc,stop,yes,adj,sweet
19,sets,sess,e,s,c#,cvcc,stop,no,n,sediment
20,sett,seʰt,e,ʰt,c#,cvcc,stop,yes,v,put
21,feits,feiss,ei,s,c#,cvvcc,stop,no,adj,fat
22,feitt,feiʰt,ei,ʰt,c#,cvvcc,stop,yes,adj,fat
23,vots,voss,o,s,c#,cvvcc,stop,no,adj,wet
24,vott,voʰt,o,ʰt,c#,cvvcc,stop,yes,adj,wet
25,takka,tʰaʰka,a,ʰk,cv,cvccv,stop,yes,n,key
26,kagga,kʰakka,a,kk,cv,cvccv,stop,no,n,barrel
27,detta,teʰta,e,ʰt,cv,cvccv,stop,yes,v,fall
28,gedda,ketta,e,tt,cv,cvccv,stop,no,n,pike
29,kamp,kʰam̥p,a,m̥,c#,cvnc,nasal,yes,n,moustache
30,kamb,kʰamp,a,m,c#,cvnc,nasal,no,n,comb
31,punt,pʰʏn̥t,ʏ,n̥,c#,cvnc,nasal,yes,n,decoration
32,pund,pʰʏnt,ʏ,n,c#,cvnc,nasal,no,n,pound
33,kembt,kem̥t,e,m̥,c#,cvcc,nasal,yes,v,comb
34,kembdi,kemti,e,m,c#,cvccv,nasal,no,v,comb
35,kampa,kʰam̥pa,a,m̥,ccv,cvncv,nasal,yes,n,moustache
36,kamba,kʰampa,a,m,ccv,cvncv,nasal,no,n,comb
37,kempa,kʰem̥pa,e,m̥,ccv,cvncv,nasal,yes,n,hero
38,kemba,kʰempa,e,m,ccv,cvncv,nasal,no,v,comb
39,punta,pʰʏn̥ta,ʏ,n̥,ccv,cvncv,nasal,yes,n,decoration
40,punda,pʰʏnta,ʏ,n,ccv,cvncv,nasal,no,n,pound
41,vanta,van̥ta,a,n̥,ccv,cvccv,nasal,yes,v,want
42,vanda,vanta,a,n,ccv,cvncv,nasal,no,v,do st carefully
43,fínn,fitn̥,i,t,c#,cvcc,stop,yes,adj,smart
44,kinn,kʰɪnn,i,nn,c#,cvcc,nasal,no,n,cheek
45,duld,tʏlt,ʏ,l,c#,cvlc,liquid,no,agg,complex
46,dult,tʏl̥t,ʏ,l̥,c#,cvlc,liquid,yes,agg,reticent
47,gelta,kel̥ta,e,l̥,cv,cvlcv,liquid,yes,v,bark
48,gelda,kelta,e,l,ccv,cvlcv,liquid,no,v,castrate
49,orka,or̥ka,o,r̥,ccv,vrcv,liquid,yes,n,energy
50,orga,orka,o,r,ccv,vrcv,liquid,no,n,scream
51,mjólka,mjoul̥ka,ou,l̥,ccv,ccvvccv,liquid,yes,v,milk
52,ólga,oulka,iu,l,ccv,vvccv,liquid,no,v,foam
53,hefna,hepna,e,p,ccv,cvccv,stop,no,v,avenge
54,vopna,voʰpna,o,ʰp,ccv,cvccv,stop,yes,v,arm
55,nafla,napla,a,p,ccv,cvccv,stop,no,n,navel
56,japla,jaʰpla,a,ʰp,ccv,cvccv,stop,yes,v,munch
57,kafli,kapli,a,p,ccv,cvccv,stop,no,n,part
58,kapli,kaʰpli,a,ʰp,ccv,cvccv,stop,yes,n,cable
59,tefla,tepla,e,p,ccv,cvccv,stop,no,v,play chess
60,tipla,tɪʰpla,ɪ,ʰp,ccv,cvccv,stop,yes,v,tiptoe
